Code;Brand;Name;Address;Zip;City;Latitude;Longitude;Visa;Mastercard;Amex;Dinersclub;Eurotrafic;GR Actys Eurotrafic;GR Netherlands;Jubileo;Bank Card;DKV;UTA;Carte Club TOTAL;Super Ethanol e85;sp95;sp95 performance;sp95 e10;Optane Evolution 95;sp98;sp98 performance;Excellium 98;Optane Evolution 98;Gasoil;Diesel Excelan;Excellium diesel;Diesel Evolution;Lpg;AdBlue;GNR;AVGAS 100 LL;Gas Bottled;Fuel Automate;Shop;Coffee Corner;Bakerie;Sandwitcherie;BDGrill;Crocade;Baby Kit;Car Wash;Car Wash HP;Car Maintenance;Tyre Center;Truck Station;Vacuum;Diesel Premier;Gasoil Performance;Total Fioul Premier;Highway;FreeWifi;Car Wash Lotus;Car Wash Osmos;Tyre Pressure
NF006598;TOTAL Access;RELAIS FREJUS PROVENCE;632 AVENUE DE PROVENCE;83600;FREJUS;43.427572;6.744275;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;yes;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;no;no;yes;yes;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;no;yes;yes
NF006506;TOTAL Access;RELAIS AUTUN GARE;15  AVENUE DE LA REPUBLIQUE;71400;AUTUN;46.956;4.29598;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;no;no
NF006302;TOTAL Access;RELAIS FEYZIN BELLE ETOILE - 2;CD 12;69320;FEYZIN;45.674643;4.848796;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;yes;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;yes;no;no;no
NF003998;TOTAL;SAS ETS DROUILLEAU PHILIPPE;511 RUE DE LA MERE DE DIEU;45200;AMILLY;47.978118;2.760416;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no
NF004119;TOTAL;SARL GARAGE DE LA MOZEE;42 AV. MGR BATIOT;85110;CHANTONNAY;46.685;-1.047555;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF003966;TOTAL;SARL STAT.SCE OLIVIER;ROUTE DE SEMUR;21500;CREPAND;47.61651;4.31776;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no
NF003990;TOTAL;SAS STATION ST JOSEPH;QUARTIER ST JOSEPH;20090;AJACCIO;41.9329;8.7559;yes;yes;yes;no;yes;yes;yes;yes;yes;no;yes;no;no;yes;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no
NF003943;TOTAL;RELAIS D'EIRAM;AVENUE DES GRIFFONS;33560;CARBON BLANC;44.890131;-0.516025;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;no;no;yes;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;yes;no;yes;yes;no;no;no;no;yes;no;yes;yes
NF003925;ELAN;SARL VALLY;45 ROUTE D'OMAHA BEACH;14520;STE HONORINE DES PERTES;49.34872;-0.81711;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF003809;TOTAL;SAS MANCHE AUTOS;ZI RN 24 BIS;50400;GRANVILLE;48.838;-1.565242;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no
NF006902;TOTAL;VENDEUVRE AUTOMOBILES;RTE POITIERS;86380;VENDEUVRE DU POITOU;46.728833;0.3036;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no
NF007348;TOTAL Access;RELAIS FOS SUR MER;ZI - SECTEUR 83 - RN 568;13270;FOS SUR MER;43.4711;4.90752;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;yes;no;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes
NF007272;TOTAL;ETS FRANCO ET FILS;ROUTE DE CARCASSONNE;11400;CASTELNAUDARY;43.310524;1.97065;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no
NF007466;TOTAL Access;RELAIS ARGENTEUIL CHATEAUBRIANT;8 BLD DES MARTYRS DE CHATEAUBRIANT;95100;ARGENTEUIL;48.95221;2.212916;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;yes;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;yes;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;no;yes
NF007505;TOTAL;RELAIS CHEVILLY-LARUE DE GAULLE;14 AV DU GENERAL DE GAULLE;94550;CHEVILLY LARUE;48.77292;2.338136;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;yes;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;yes;no;yes;yes;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;no;yes
NF007464;TOTAL Access;RELAIS RENNES ROUTE DE NANTES;334  RUE DE NANTES;35200;RENNES;48.0854;-1.69603;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;yes;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;yes;no;no;yes;no;no;no;no;yes;yes;no;yes
NF009206;TOTAL;EASY PARE-BRISES ET SERVICES;ROUTE DE PARIS;77230;VILLENEUVE SOUS DAMMARTIN;49.033339;2.63601;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;no;no;no;no;yes;yes;no;no;no;no;no;no;yes;no;yes;no;yes;yes;no;no;no;no;yes;yes;no;no
NF009202;TOTAL;FERREYRA ET SES FILS;61 RUE DE BRUNOY;91480;QUINCY SOUS SENART;48.677331;2.526792;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;no;no;no;no;yes;yes;no;no;no;no;no;no;yes;no;yes;no;yes;yes;no;no;no;no;yes;yes;no;no
NF007754;TOTAL;RELAIS LUTTERBACH;RN 66;68460;LUTTERBACH;47.767547;7.251283;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;yes;no;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes
NF001230;TOTAL;SARL GARAGE DE LA FORET;85 RUE DU GENERAL LECLERC;2600;VILLERS COTTERETS;49.255483;3.083077;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no
NF001465;TOTAL Access;RELAIS VANDOEUVRE;D570 LE REVEILLEUX;54500;VANDOEUVRE LES NANCY;48.65463;6.185747;yes;yes;yes;no;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;no;no
NF010218;TOTAL;SARL DIA DIFFUSION INTERNATIONALE A;130 ROUTE DE BALE;68000;COLMAR;48.059466;7.36341;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no
NF011502;TOTAL;SARL SAINT GERMAIN AUTOMOBILES;RUE DE PERSIGNY;42640;ST GERMAIN L ESPINASSE;46.102388;3.967837;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no
NF002992;TOTAL Access;RELAIS DES CIGALES;99 AVENUE DE STALINGRAD;13200;ARLES;43.6907;4.637462;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;yes;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;no;yes
NF003113;TOTAL;RELAIS DE MEUDON;97 TER ROUTE DES GARDES;92190;MEUDON;48.813252;2.216999;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;no;no;yes;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;yes;no;yes;no;no;yes;no;no;no;no;yes;yes;no;yes
NF014011;ELAN;GARAGE RENOUARD;PLACE 4 SEPTEMBRE 1;89350;CHAMPIGNELLES;47.781311;3.073452;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF003758;ELAN;GARAGE VINCENT CHRISTIAN;PL DE L'EGLISE 21 rte de BOURGES;18350;BLET;46.896255;2.728852;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no
NF014145;ELAN;TABAC PRESSE ST ANTOINE;618 RUE DES ALPAGES;74310;LES HOUCHES;45.895816;6.805273;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014135;ELAN;GARAGE J.M. LEBARQ;RUE GAL FAIDHERBE;76280;GONNEVILLE LA MALLET;49.6384;0.228127;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014118;ELAN;MICHAUD;ROUTE DE FONTAINE 22;79110;COUTURE D ARGENSON;45.991625;-0.087223;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014131;ELAN;SARL GARAGE DU PARC;557 AVENUE DU PARC;76690;CLERES;49.595101;1.105592;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF004362;TOTAL;R.L.C.S.V;76 RUE CHOLETAISE;49450;ST MACAIRE EN MAUGES;47.12177;-0.9834;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014188;ELAN;SARL GARAGE ANERE;LE BOURG;69910;VILLIE MORGON;46.160286;4.68067;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014207;ELAN;SARL SERIS PHILIPPE;LE BOURG;64450;AURIAC;43.4664;-0.323609;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF006600;TOTAL Access;RELAIS TRANS EN PROVENCE;1593 ROUTE DE DRAGUIGNAN;83720;TRANS EN PROVENCE;43.5133;6.47719;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;yes;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;no;no;no
NF006629;TOTAL Access;RELAIS HIRSON DE GAULLE;102 RUE CHARLES DE GAULLE;2500;HIRSON;49.919189;4.084525;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;yes;no;yes;yes;no;no;no;no;yes;no;no;no
NF007003;TOTAL Access;RELAIS GRANDE FOLIE;RN 20;91180;ST GERMAIN LES ARPAJON;48.6093;2.25277;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;no;no;yes;yes;no;no;no;no;yes;yes;no;no
NF014263;ELAN;ETS CAFE TABAC DE LA PLACE;RUE JEAN JAURES 1;59710;ENNEVELIN;50.540638;3.128098;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014323;ELAN;SARL GARAGE DE LA PLAINE;GRANDE RUE 11;52160;COLMIER LE HAUT;47.779575;4.963847;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF014289;ELAN;SARL GRANDCHAMP AUTOMOBILES;ROUTE DE VANNES;56390;GRAND CHAMP;47.751408;-2.840717;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF006882;TOTAL;SARL MTS;24 AVENUE DU PERE COUDRIN;48000;MENDE;44.517764;3.508689;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;yes;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;yes;yes;no;no;no;no;no;no;no;no;yes;no;yes;no;no;no;no;no;no;no;no;no
NF006554;TOTAL;RELAIS PARIS MANIN;121 RUE MANIN;75000;PARIS;48.883724;2.389699;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;no;no;no;yes;no;no;no;yes;no;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;no;yes;no;no;yes;no;no;no;no;yes;no;no;yes
NF014314;ELAN;MONTAUDIN AUTO;LE BOURG;53220;MONTAUDIN;48.381012;-0.985373;yes;yes;no;no;yes;yes;yes;yes;yes;no;no;no;no;yes;no;no;no;no;no;yes;no;no;yes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no
NF004216;TOTAL Access;RELAIS ORLEANS LA SOURCE;39 AV DU PRESIDENT JOHN KENNEDY;45100;ORLEANS LA SOURCE;47.842503;1.925041;yes;yes;yes;no;yes;yes;yes;yes;yes;no;no;yes;yes;no;no;yes;no;no;no;yes;no;yes;no;yes;no;yes;no;no;no;yes;yes;no;no;no;no;no;no;no;yes;no;yes;no;yes;yes;no;no;no;no;yes;no;no;no
